Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-06,Watched at the Frida Cinema in 2024,"watched, theater, 2024, frida",https://boxd.it/rGaXK,Films that I watched at the Frida Cinema in Santa Ana CA during 2023.

Position,Name,Year,URL,Description
1,Thief,1981,https://boxd.it/1TEc,2024-01-05
2,Romeo + Juliet,1996,https://boxd.it/2ama,2024-01-05
3,Double Indemnity,1944,https://boxd.it/297I,2024-01-10 - Classic Movie Night
4,Heat,1995,https://boxd.it/2bg8,2024-01-17
5,The Favourite,2018,https://boxd.it/d2hI,2024-01-19
6,Barry Lyndon,1975,https://boxd.it/25A2,2024-01-20
7,The Lobster,2015,https://boxd.it/7tnw,2024-01-23
8,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,2024-01-23
9,Kinetta,2005,https://boxd.it/3d2Y,2024-01-24
10,Alps,2011,https://boxd.it/2RHg,2024-01-24
11,Collateral,2004,https://boxd.it/28F0,2024-01-29
12,Duel,1971,https://boxd.it/29ui,2024-02-01 - See it on 16mm - A Secret Spielberg
13,Near Dark,1987,https://boxd.it/1SRO,2024-02-03 - Mystery Kathryn Bigelow
14,Point Break,1991,https://boxd.it/2958,2024-02-03 - Mystery Kathryn Bigelow
15,The Host,2006,https://boxd.it/28ZY,2024-02-06
16,The Sweet East,2023,https://boxd.it/CcHw,2024-02-09
17,Notting Hill,1999,https://boxd.it/2aeK,2024-02-10
18,Departing Seniors,2023,https://boxd.it/HD2K,2024-02-11
19,Sisters,1972,https://boxd.it/1AMc,2024-02-23 - DePalm-a-Thon: A Secret Brian DePalma Triple Feature!
20,Body Double,1984,https://boxd.it/1TGW,2024-02-23 - DePalm-a-Thon: A Secret Brian DePalma Triple Feature!
21,Snake Eyes,1998,https://boxd.it/1ZX0,2024-02-23 - DePalm-a-Thon: A Secret Brian DePalma Triple Feature!
22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,2024-02-24
23,House,1977,https://boxd.it/1vsm,2024-02-24 - Horrorbuzz.com
24,"Paris, Texas",1984,https://boxd.it/29Ts,2024-02-25 and 2024-09-14
25,Wings of Desire,1987,https://boxd.it/2b26,2024-02-27
26,The Birds,1963,https://boxd.it/2a6m,2024-02-28 - Classic Movie Night
27,Perfect Days,2023,https://boxd.it/ATh8,2024-03-02
28,Stopmotion,2023,https://boxd.it/vHYa,2024-03-02
29,Drugstore June,2024,https://boxd.it/E2PE,2024-03-02
30,Days of Heaven,1978,https://boxd.it/1JRg,2024-03-05
31,The Fly,1986,https://boxd.it/1YIe,2024-03-12
32,The Lady Eve,1941,https://boxd.it/25LY,2024-03-13
33,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,2024-03-15
34,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,2024-03-16
35,Dredd,2012,https://boxd.it/GZE,2024-03-16
36,Ambulance,2022,https://boxd.it/sFxg,2024-03-16
37,One from the Heart,1982,https://boxd.it/ZJq,2024-03-18
38,Love Lies Bleeding,2024,https://boxd.it/zN4q,2024-03-21
39,Riddle of Fire,2023,https://boxd.it/GamO,2024-03-22
40,Jennifer's Body,2009,https://boxd.it/1Efw,2024-03-22
41,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/1YAO,2024-03-22
42,Nostalgia,1983,https://boxd.it/28Qi,2024-03-25
43,Matilda,1996,https://boxd.it/1VhY,2024-03-28
44,Cinema Paradiso,1988,https://boxd.it/1UlA,2024-03-29
45,Angel,1984,https://boxd.it/287s,2024-03-29
46,Freeway,1996,https://boxd.it/1Uju,2024-03-29
47,Ring,1998,https://boxd.it/26tw,2024-03-30
48,Annihilation,2018,https://boxd.it/9yzm,2024-04-04
49,A Bucket of Blood,1959,https://boxd.it/1AfM,2024-04-04 - Bucket of Blood + Little Shop of Horrors: Presented by See It On 16mm
50,The Little Shop of Horrors,1960,https://boxd.it/1xDm,2024-04-04 - Bucket of Blood + Little Shop of Horrors: Presented by See It On 16mm
51,Late Night with the Devil,2023,https://boxd.it/zo6G,2024-04-05
52,Frogman,2023,https://boxd.it/H6CK,2024-04-06
53,Galaxy Quest,1999,https://boxd.it/29gq,2024-04-07
54,12 Angry Men,1957,https://boxd.it/2auI,2024-04-10 - Classic Movie Night
55,Civil War,2024,https://boxd.it/z1jW,2024-04-11
56,Night of the Comet,1984,https://boxd.it/1GUw,2024-04-27 - Horrorbuzz.com
57,Spider-Man 3,2007,https://boxd.it/2a7Y,2024-04-29
58,Blazing Saddles,1974,https://boxd.it/1UHQ,2024-05-01 - See it on 16mm
59,The Lost Boys,1987,https://boxd.it/28DI,2024-05-02 - Creepy AF
60,The Amazing Spider-Man,2012,https://boxd.it/27PI,2024-05-06
61,Daisies,1966,https://boxd.it/LZk,2024-05-07 - Arthouse 101
62,I Saw the TV Glow,2024,https://boxd.it/woVe,"2024-05-08 - Member's only early screening
2024-05-16"
63,Phantom of the Paradise,1974,https://boxd.it/1s34,2024-05-10 - 50th Anniversary
64,Psycho,1960,https://boxd.it/2ab2,2024-05-12 - Mother's Day
65,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,2024-05-13
66,Better Off Dead...,1985,https://boxd.it/1PFU,2024-05-15 - Science On Screen
67,Faceless After Dark,2023,https://boxd.it/HjE0,2024-05-19 - Camp Frida Presents
68,Wake in Fright,1971,https://boxd.it/1tWk,2024-05-21 - Arthouse 101
69,Legally Blonde,2001,https://boxd.it/1ZNa,2024-05-25 - Slumber Party Parties
70,Tusk,2014,https://boxd.it/7eoa,2024-05-27 - In Defense Of
71,Carrie,1976,https://boxd.it/20ZQ,2024-05-31 - Screamfest
72,But I'm a Cheerleader,1999,https://boxd.it/1CW4,2024-06-01
73,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,2024-06-03
74,Fitzcarraldo,1982,https://boxd.it/1YV8,2024-06-04 - Arthouse 101
75,Greedy,1994,https://boxd.it/1RfE,2024-06-05
76,Rope,1948,https://boxd.it/28yo,2024-06-06
77,Freaky Friday,2003,https://boxd.it/1WwK,2024-06-15 - Slumber Party Parties
78,Some Like It Hot,1959,https://boxd.it/2aNA,2024-06-19 - Classic Movie Night
79,Serial Mom,1994,https://boxd.it/1Tty,2024-06-29 - Horrorbuzz.com
80,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,2024-06-30 - Member's Only
81,X,2022,https://boxd.it/sxVa,2024-07-01
82,Pearl,2022,https://boxd.it/zPbe,2024-07-01
83,MaXXXine,2024,https://boxd.it/CIM4,2024-07-03
84,Kinds of Kindness,2024,https://boxd.it/CWPw,2024-07-05
85,Longlegs,2024,https://boxd.it/KzLM,2024-07-18
86,Unbreakable,2000,https://boxd.it/1XV2,2024-07-22
