Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-16,Watched with Kerrigan in 2024,"kerrigan, 2024",https://boxd.it/s6vUa,

Position,Name,Year,URL,Description
1,Migration,2023,https://boxd.it/ztfo,2024-01-15
2,The Others,2001,https://boxd.it/27Po,2024-01-16
3,A Quiet Place,2018,https://boxd.it/fVJQ,2024-01-21
4,A Quiet Place Part II,2020,https://boxd.it/iTx0,2024-01-22
5,Happy Death Day,2017,https://boxd.it/fDz4,2024-01-25
6,Mean Girls,2024,https://boxd.it/p6nO,2024-01-27 and 2024-02-02
7,Night Swim,2024,https://boxd.it/EyB0,2024-01-27
8,Happy Death Day 2U,2019,https://boxd.it/ixt6,2024-01-31
9,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,2024-02-04
10,Isle of Dogs,2018,https://boxd.it/dZrW,2024-02-05
11,The Host,2006,https://boxd.it/28ZY,2024-02-06
12,Notting Hill,1999,https://boxd.it/2aeK,2024-02-10
13,Lisa Frankenstein,2024,https://boxd.it/ByjY,2024-02-10
14,Departing Seniors,2023,https://boxd.it/HD2K,2024-02-11
15,Dune,2021,https://boxd.it/fA7G,2024-02-13
16,10 Things I Hate About You,1999,https://boxd.it/23AO,2024-02-18
17,Ready or Not,2019,https://boxd.it/kOf0,2024-02-20
18,The Birdcage,1996,https://boxd.it/1UTi,2024-02-22
19,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,2024-02-24
20,House,1977,https://boxd.it/1vsm,2024-02-24
21,Tenet,2020,https://boxd.it/leq4,2024-02-27 - 70mm IMAX
22,The Birds,1963,https://boxd.it/2a6m,2024-02-28 - Classic Movie Night
23,The House Bunny,2008,https://boxd.it/1RyG,2024-03-08
24,The Fly,1986,https://boxd.it/1YIe,2024-03-12
25,The Lady Eve,1941,https://boxd.it/25LY,2024-03-13
26,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,2024-03-15
27,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,2024-03-16
28,Dune: Part Two,2024,https://boxd.it/pUfA,2024-03-17
29,Imaginary,2024,https://boxd.it/GyJW,2024-03-19
30,Riddle of Fire,2023,https://boxd.it/GamO,2024-03-22
31,Jennifer's Body,2009,https://boxd.it/1Efw,2024-03-22
32,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/1YAO,2024-03-22
