Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-11,Brick,2005,https://boxd.it/5yVjk5,4,,"frida, theater",2023-03-03
2024-01-11,El Topo,1970,https://boxd.it/5yVjxX,5,,"theater, frida",2023-03-03
2023-03-09,The Outwaters,2022,https://boxd.it/3XjiFT,2.5,,"theater, frida",2023-03-06
2023-03-10,Saint Maud,2019,https://boxd.it/3XDG1N,4,,,2023-03-06
2023-03-09,Jodorowsky's Dune,2013,https://boxd.it/3XjiTr,3.5,,blu-ray,2023-03-07
2023-03-09,Blow Out,1981,https://boxd.it/3XrvGL,3,,blu-ray,2023-03-08
2023-03-10,Scream,2022,https://boxd.it/3Xz4u5,3.5,,,2023-03-08
2023-03-10,Snowpiercer,2013,https://boxd.it/3XyRpL,3.5,Yes,,2023-03-09
2023-03-10,Scream 2,1997,https://boxd.it/3XCYpr,2.5,,,2023-03-09
2023-03-10,Scream 3,2000,https://boxd.it/3XDEbh,2.5,,,2023-03-09
2023-03-10,Scream,1996,https://boxd.it/3XJJR5,3.5,Yes,,2023-03-09
2023-03-10,Scream VI,2023,https://boxd.it/3XJK6J,3.5,,"theater, regal",2023-03-09
2023-03-11,Scream 4,2011,https://boxd.it/3XOM9b,3,,,2023-03-10
2023-03-11,Creed,2015,https://boxd.it/3XUV4L,3.5,,,2023-03-10
2023-03-11,Creed II,2018,https://boxd.it/3XUVjV,3.5,,,2023-03-10
2023-03-11,Climax,2018,https://boxd.it/3Y0NFr,3,,"theater, frida",2023-03-10
2023-03-12,Get Out,2017,https://boxd.it/3YgWXL,5,Yes,blu-ray,2023-03-11
2023-03-12,The Silence of the Lambs,1991,https://boxd.it/3YmZkJ,4,Yes,"theater, frida",2023-03-11
2023-03-13,Dazed and Confused,1993,https://boxd.it/3YDy1T,3,,,2023-03-12
2023-03-13,Creed III,2023,https://boxd.it/3YFsRD,3,,"theater, regal",2023-03-12
2023-03-14,Obsession,1976,https://boxd.it/3YVZXL,4,,,2023-03-13
2023-03-14,Body Double,1984,https://boxd.it/3YW0El,3.5,,,2023-03-13
2023-03-14,Triangle of Sadness,2022,https://boxd.it/3YW18P,2.5,,,2023-03-13
2023-03-16,The Sadness,2021,https://boxd.it/3Zh1nH,3,,,2023-03-13
2023-03-15,The Sixth Sense,1999,https://boxd.it/3Z2iZD,3.5,Yes,,2023-03-14
2023-03-15,La La Land,2016,https://boxd.it/3Z4akL,4,,,2023-03-14
2023-03-15,Do the Right Thing,1989,https://boxd.it/3ZbEjd,5,,,2023-03-14
2023-03-15,Raging Bull,1980,https://boxd.it/3ZdfuJ,3,,,2023-03-14
2023-03-16,A Ghost Story,2017,https://boxd.it/3ZkYZh,4,,,2023-03-15
2023-03-16,Speak No Evil,2022,https://boxd.it/3ZnjcT,3,,,2023-03-15
2023-03-16,Uncut Gems,2019,https://boxd.it/3ZqZiP,4,,,2023-03-15
2023-03-17,GoodFellas,1990,https://boxd.it/3ZA0BV,4,,,2023-03-16
2023-03-17,Sleepless in Seattle,1993,https://boxd.it/3ZACyl,3.5,Yes,,2023-03-16
2023-03-17,Malevolent,2018,https://boxd.it/3ZCN5X,2.5,,,2023-03-16
2023-03-17,Hypnotic,2021,https://boxd.it/3ZEjVN,3,,,2023-03-16
2023-03-17,Party Girl,1995,https://boxd.it/3ZGepr,4,,,2023-03-16
2023-03-18,The Proposal,2009,https://boxd.it/3ZJY67,4,Yes,,2023-03-16
2023-03-18,The Brothers Bloom,2008,https://boxd.it/3ZVx3J,4,Yes,,2023-03-17
2023-03-18,House,1977,https://boxd.it/3ZWD0X,4,,,2023-03-17
2023-03-19,Shazam! Fury of the Gods,2023,https://boxd.it/40e2X5,3,,"theater, regal",2023-03-18
2023-03-19,Phantom of the Paradise,1974,https://boxd.it/40fYAb,4,,"theater, frida",2023-03-18
2023-03-21,Sick,2022,https://boxd.it/40GgvP,2,,,2023-03-19
2023-03-22,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/40U491,4,,,2023-03-20
2023-03-23,Guardians of the Galaxy,2014,https://boxd.it/41eGn1,3,Yes,,2023-03-21
2023-03-23,The Lighthouse,2019,https://boxd.it/41eGR1,3.5,,,2023-03-22
2023-03-23,The Lost City,2022,https://boxd.it/41gXH7,3,,,2023-03-22
2023-03-23,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/41jjcp,4,Yes,,2023-03-22
2023-03-24,Portrait of a Lady on Fire,2019,https://boxd.it/41ytiH,5,,,2023-03-23
2023-03-25,A Good Person,2023,https://boxd.it/41MX2n,3.5,,"theater, regal",2023-03-24
