Date,Name,Year,Letterboxd URI
2022-06-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-06-06,The Bob's Burgers Movie,2022,https://boxd.it/if7w
2022-06-06,Crimes of the Future,2022,https://boxd.it/uTuY
2022-06-06,Parasite,2019,https://boxd.it/hTha
2022-06-06,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2022-06-06,The Fly,1986,https://boxd.it/1YIe
2022-06-06,Videodrome,1983,https://boxd.it/29uC
2022-06-06,Scanners,1981,https://boxd.it/1YqE
2022-06-06,The Brood,1979,https://boxd.it/1ovS
2022-06-06,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2022-06-06,The French Dispatch,2021,https://boxd.it/jLP8
2022-06-06,Moonrise Kingdom,2012,https://boxd.it/2Wng
2022-06-06,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2022-06-06,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2022-06-06,The Darjeeling Limited,2007,https://boxd.it/24as
2022-06-06,Raw,2016,https://boxd.it/dLd2
2022-06-06,Mean Girls,2004,https://boxd.it/1VNg
2022-06-06,Clueless,1995,https://boxd.it/1Ygk
2022-06-06,The Babysitter,2017,https://boxd.it/eP1w
2022-06-06,Last Night in Soho,2021,https://boxd.it/lbJC
2022-06-06,Run Lola Run,1998,https://boxd.it/2b8o
2022-06-06,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-06-06,Easy A,2010,https://boxd.it/17DK
2022-06-06,Midsommar,2019,https://boxd.it/jhxe
2022-06-06,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2022-06-06,Ready or Not,2019,https://boxd.it/kOf0
2022-06-06,Mulholland Drive,2001,https://boxd.it/297o
2022-06-06,Pitch Perfect,2012,https://boxd.it/3OsE
2022-06-06,Hot Fuzz,2007,https://boxd.it/2416
2022-06-06,The World's End,2013,https://boxd.it/3EiO
2022-06-06,Shaun of the Dead,2004,https://boxd.it/29J8
2022-06-06,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2022-06-06,Up in the Air,2009,https://boxd.it/1zPY
2022-06-06,Pitch Perfect 3,2017,https://boxd.it/bUre
2022-06-06,Suspiria,1977,https://boxd.it/1SNW
2022-06-06,Battle Royale,2000,https://boxd.it/25zS
2022-06-06,The Babadook,2014,https://boxd.it/77xu
2022-06-06,Knives Out,2019,https://boxd.it/jWEA
2022-06-06,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2022-06-06,Brick,2005,https://boxd.it/1Z6A
2022-06-06,Get Out,2017,https://boxd.it/eOCm
2022-06-06,His House,2020,https://boxd.it/l8Qq
2022-06-06,The Perfection,2018,https://boxd.it/jgxW
2022-11-07,The Shining,1980,https://boxd.it/29Nu
2022-11-07,The Exorcist,1973,https://boxd.it/1Yoo
2022-11-07,Psycho,1960,https://boxd.it/2ab2
2022-11-07,28 Days Later,2002,https://boxd.it/2aXU
2022-11-07,It Follows,2014,https://boxd.it/87wo
2022-11-07,Let the Right One In,2008,https://boxd.it/1Qr0
2023-03-09,Jodorowsky's Dune,2013,https://boxd.it/5MP6
2023-03-10,Glass Onion,2022,https://boxd.it/oCkK
2023-03-10,Saint Maud,2019,https://boxd.it/l8QA
2023-03-10,Snowpiercer,2013,https://boxd.it/3Icg
2023-03-10,Suspiria,2018,https://boxd.it/cioI
2023-03-10,The Cabin in the Woods,2011,https://boxd.it/1zOc
2023-03-10,Eraserhead,1977,https://boxd.it/299u
2023-03-10,mother!,2017,https://boxd.it/dgRU
2023-03-10,Black Swan,2010,https://boxd.it/Sw0
2023-03-10,Nope,2022,https://boxd.it/sDCe
2023-03-10,Barbarian,2022,https://boxd.it/yohi
2023-03-10,Pearl,2022,https://boxd.it/zPbe
2023-03-10,Terrifier 2,2022,https://boxd.it/oI10
2023-03-10,Oculus,2013,https://boxd.it/4W9M
2023-03-10,The Babysitter: Killer Queen,2020,https://boxd.it/n4VA
2023-03-10,Girl on the Third Floor,2019,https://boxd.it/llgU
2023-03-10,A Wounded Fawn,2022,https://boxd.it/Aqui
2023-03-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2023-03-10,Inception,2010,https://boxd.it/1skk
2023-03-10,Django Unchained,2012,https://boxd.it/2cCk
2023-03-10,Shutter Island,2010,https://boxd.it/1U82
2023-03-10,Tenet,2020,https://boxd.it/leq4
2023-03-10,Little Miss Sunshine,2006,https://boxd.it/29EW
2023-03-10,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2023-03-10,The Breakfast Club,1985,https://boxd.it/27q4
2023-03-10,A Clockwork Orange,1971,https://boxd.it/2aVE
2023-03-10,Requiem for a Dream,2000,https://boxd.it/29VI
2023-03-10,Encanto,2021,https://boxd.it/kPRu
2023-03-10,The Big Lebowski,1998,https://boxd.it/2b6C
2023-03-10,Turning Red,2022,https://boxd.it/ipkq
2023-03-10,The Hateful Eight,2015,https://boxd.it/8gw8
2023-03-10,Babylon,2022,https://boxd.it/mM02
