Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-30,Favorite Horror Supporting Characters,showdown:horrorperf,https://boxd.it/zZ3L8,

Position,Name,Year,URL,Description
1,Black Swan,2010,https://boxd.it/Sw0,Mila Kunis and Winona Ryder are both great
2,Ready or Not,2019,https://boxd.it/kOf0,Melanie Scrofano and Kristian Bruun are excellent in this as inept family members.
3,Scream,1996,https://boxd.it/24EC,Drew Barrymore!
4,Smile,2022,https://boxd.it/xjfE,Caitlin Stasey is great as Laura in the promo materials and intro.
5,Scream VI,2023,https://boxd.it/zdfW,Excellent intro kill from Samara Weaving!
6,X,2022,https://boxd.it/sxVa,Jenna Ortega
7,Crimes of the Future,2022,https://boxd.it/uTuY,Kristen Stewart is so weird in this and I love the performance
8,Pearl,2022,https://boxd.it/zPbe,Emma Jenkins-Purro
9,I Saw the TV Glow,2024,https://boxd.it/woVe,Shoutout to Fred Durst
10,The Shining,1980,https://boxd.it/29Nu,Lisa and Louisa Burns as the twins
