Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-03,Films to show Kerrigan,daughter,https://boxd.it/m5e1m,Films that I'd like to watch with my daughter at some point.

Position,Name,Year,URL,Description
1,The Breakfast Club,1985,https://boxd.it/27q4,
2,The Princess Bride,1987,https://boxd.it/26EY,
3,Krampus,2015,https://boxd.it/8Wy6,
4,Insidious,2010,https://boxd.it/H4k,
5,Get Out,2017,https://boxd.it/eOCm,
6,Shutter Island,2010,https://boxd.it/1U82,
7,Dune,1984,https://boxd.it/29tY,
8,The Watcher in the Woods,1980,https://boxd.it/1BeK,
9,The Gate,1987,https://boxd.it/21ka,
10,9,2009,https://boxd.it/1Scm,
11,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
12,Frogman,2023,https://boxd.it/H6CK,
13,The Black Phone,2021,https://boxd.it/sqFE,
14,Zombieland,2009,https://boxd.it/1En6,
15,Ghostbusters,2016,https://boxd.it/Vm8,
16,Trick 'r Treat,2007,https://boxd.it/1zvE,
17,Orphan,2009,https://boxd.it/1CgM,
18,Orphan: First Kill,2022,https://boxd.it/sxZc,
19,The Cell,2000,https://boxd.it/1ZLS,
20,The Substance,2024,https://boxd.it/zanS,
