Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-24,My Top Favorite Films,ranking,https://boxd.it/msxE4,My favorite films ranked. No objective criteria over what ends up here other than what I feel like should be on my top list.

Position,Name,Year,URL,Description
1,Mulholland Drive,2001,https://boxd.it/297o,
2,The Shining,1980,https://boxd.it/29Nu,
3,Midsommar,2019,https://boxd.it/jhxe,
4,mother!,2017,https://boxd.it/dgRU,
5,Beau Is Afraid,2023,https://boxd.it/u2gE,
6,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
7,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe,
8,Hereditary,2018,https://boxd.it/hNVe,
9,Pan's Labyrinth,2006,https://boxd.it/28No,
10,Tenet,2020,https://boxd.it/leq4,
11,Barbie,2023,https://boxd.it/bCLK,
12,Oldboy,2003,https://boxd.it/29R2,
13,Alien,1979,https://boxd.it/2awY,
14,Black Swan,2010,https://boxd.it/Sw0,
