Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-14,Owned Arrow 4ks,"owned, arrow, 4k",https://boxd.it/CSXK4,

Position,Name,Year,URL,Description
1,Inglourious Basterds,2009,https://boxd.it/1JzG,Limited
2,Donnie Darko,2001,https://boxd.it/2b2A,
3,Dune,1984,https://boxd.it/29tY,
4,Twelve Monkeys,1995,https://boxd.it/2beQ,
5,Crimson Peak,2015,https://boxd.it/62Ty,
6,Deep Red,1975,https://boxd.it/1E1E,Limited
7,The Cat o' Nine Tails,1971,https://boxd.it/1rPm,Limited
8,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW,Regular and Limited
9,Santa Sangre,1989,https://boxd.it/1FrI,
10,Mallrats,1995,https://boxd.it/26ZW,
11,Carlito's Way,1993,https://boxd.it/226e,
12,Witness,1985,https://boxd.it/1Z4O,
13,Black Hat,2018,https://boxd.it/myfM,
14,The Warriors,1979,https://boxd.it/1TLC,
15,Dark Water,2002,https://boxd.it/1Sik,
16,Ring,1998,https://boxd.it/26tw,
17,Psycho II,1983,https://boxd.it/1VUQ,Psycho The Story Continues
18,Psycho III,1986,https://boxd.it/1RsS,Psycho The Story Continues
19,Psycho IV: The Beginning,1990,https://boxd.it/11Xa,Psycho The Story Continues
20,Mary Shelley's Frankenstein,1994,https://boxd.it/25T4,
21,Wild Things,1998,https://boxd.it/29Zq,
22,The Last Starfighter,1984,https://boxd.it/1SRk,
23,An American Werewolf in London,1981,https://boxd.it/29yk,
24,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,
25,Friday the 13th,2009,https://boxd.it/1QAw,
26,Hellraiser,1987,https://boxd.it/1Zpi,Hellraiser: Quartet of Torment
27,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,Hellraiser: Quartet of Torment
28,Hellraiser III: Hell on Earth,1992,https://boxd.it/1TwW,Hellraiser: Quartet of Torment
29,Hellraiser: Bloodline,1996,https://boxd.it/1ZSk,Hellraiser: Quartet of Torment
30,The Cell,2000,https://boxd.it/1ZLS,
