Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-14,Owned Arrow Blu-rays,"owned, arrow, blu-ray",https://boxd.it/CSY3U,

Position,Name,Year,URL,Description
1,Crimson Peak,2015,https://boxd.it/62Ty,
2,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,Vengeance Trilogy
3,Oldboy,2003,https://boxd.it/29R2,Vengeance Trilogy
4,Lady Vengeance,2005,https://boxd.it/248G,Vengeance Trilogy
5,The Fury,1978,https://boxd.it/1RA8,
6,Shikoku,1999,https://boxd.it/2c9M,J-Horror Rising
7,Isola: Multiple Personality Girl,2000,https://boxd.it/2cmQ,J-Horror Rising
8,Inugami,2001,https://boxd.it/2d9I,J-Horror Rising
9,St. John's Wort,2001,https://boxd.it/3FuG,J-Horror Rising
10,Carved: The Slit-Mouthed Woman,2007,https://boxd.it/1vd2,J-Horror Rising
11,Persona,2000,https://boxd.it/4TgA,J-Horror Rising
12,Noroi: The Curse,2005,https://boxd.it/1BN6,J-Horror Rising
