Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-12,Owned Criterion 4ks,"owned, criterion, 4k",https://boxd.it/B8SvW,

Position,Name,Year,URL,Description
1,Mulholland Drive,2001,https://boxd.it/297o,
2,Lost Highway,1997,https://boxd.it/29Wc,
3,No Country for Old Men,2007,https://boxd.it/21ew,
4,"Paris, Texas",1984,https://boxd.it/29Ts,
5,8½,1963,https://boxd.it/2aqm,
6,Blue Velvet,1986,https://boxd.it/29BI,
7,The Princess Bride,1987,https://boxd.it/26EY,
8,Citizen Kane,1941,https://boxd.it/71O,
9,Malcolm X,1992,https://boxd.it/27WE,
10,Uncut Gems,2019,https://boxd.it/gXGc,
11,Sound of Metal,2019,https://boxd.it/i7Q4,
12,The Power of the Dog,2021,https://boxd.it/m99E,
13,A Hard Day's Night,1964,https://boxd.it/29LS,
14,Blow Out,1981,https://boxd.it/1TlE,
15,The Virgin Suicides,1999,https://boxd.it/28JG,
16,Dazed and Confused,1993,https://boxd.it/1Ylk,
17,The Adventures of Baron Munchausen,1988,https://boxd.it/1NXs,
18,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
19,WALL·E,2008,https://boxd.it/1VEo,
20,Repo Man,1984,https://boxd.it/1Plg,
21,The Red Shoes,1948,https://boxd.it/1EXI,
22,Seven Samurai,1954,https://boxd.it/2axi,
23,Okja,2017,https://boxd.it/dvXe,
24,The Grifters,1990,https://boxd.it/1HwA,
25,Yojimbo,1961,https://boxd.it/1SRY,Two Samurai Films
26,Sanjuro,1962,https://boxd.it/1TaQ,Two Samurai Films
27,The Shape of Water,2017,https://boxd.it/dZ5m,
28,Scarface,1932,https://boxd.it/29oa,
29,Funny Girl,1968,https://boxd.it/1KR2,
30,Paper Moon,1973,https://boxd.it/1Ud2,
31,Gummo,1997,https://boxd.it/1H0Y,
32,Demon Pond,1979,https://boxd.it/3TF4,
33,Happiness,1998,https://boxd.it/1VEe,
34,The Long Good Friday,1980,https://boxd.it/1NlS,
35,The Last Emperor,1987,https://boxd.it/29Ji,
36,Perfect Days,2023,https://boxd.it/ATh8,
37,Risky Business,1983,https://boxd.it/1YUE,
38,Bound,1996,https://boxd.it/1Z1g,
39,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
40,Werckmeister Harmonies,2000,https://boxd.it/1zzw,
41,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,
42,To Die For,1995,https://boxd.it/2a5o,
43,Days of Heaven,1978,https://boxd.it/1JRg,
44,The Piano,1993,https://boxd.it/29Kq,
45,Triangle of Sadness,2022,https://boxd.it/hXlq,
46,Mildred Pierce,1945,https://boxd.it/25uS,
47,Wings of Desire,1987,https://boxd.it/2b26,
48,Peeping Tom,1960,https://boxd.it/1Utk,
49,Trainspotting,1996,https://boxd.it/29XY,
50,Blood Simple,1984,https://boxd.it/1U16,
51,Mean Streets,1973,https://boxd.it/2aSU,
52,The Others,2001,https://boxd.it/27Po,
53,Dreams,1990,https://boxd.it/1ROu,
54,Night of the Living Dead,1968,https://boxd.it/1WwA,
55,Menace II Society,1993,https://boxd.it/1Yuc,
56,The Last Waltz,1978,https://boxd.it/1P1U,
57,Double Indemnity,1944,https://boxd.it/297I,
58,Raging Bull,1980,https://boxd.it/28yI,
59,Don't Look Now,1973,https://boxd.it/29fC,
60,Videodrome,1983,https://boxd.it/29uC,
61,The Trial,1962,https://boxd.it/25Xg,
62,Breathless,1960,https://boxd.it/2aIK,
63,After Hours,1985,https://boxd.it/1VfS,
64,Time Bandits,1981,https://boxd.it/19KI,
65,Thelma & Louise,1991,https://boxd.it/28Ew,
66,The Fisher King,1991,https://boxd.it/2aWM,
