Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-13,Owned Criterion Blu-rays,"owned, criterion, blu-ray",https://boxd.it/COSps,

Position,Name,Year,URL,Description
1,Eraserhead,1977,https://boxd.it/299u,
2,David Lynch: The Art Life,2016,https://boxd.it/eASq,
3,The Elephant Man,1980,https://boxd.it/27LQ,
4,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
5,Blue Velvet,1986,https://boxd.it/29BI,
6,Inland Empire,2006,https://boxd.it/28d6,
7,Being There,1979,https://boxd.it/1WxS,
8,Cronos,1992,https://boxd.it/1TjS,
9,The Devil's Backbone,2001,https://boxd.it/28Li,
10,Pan's Labyrinth,2006,https://boxd.it/28No,
11,The Princess Bride,1987,https://boxd.it/26EY,
12,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe,
13,Romeo and Juliet,1968,https://boxd.it/22cQ,
14,The Velvet Underground,2021,https://boxd.it/jPXA,
15,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
16,Barry Lyndon,1975,https://boxd.it/25A2,
17,The Killing,1956,https://boxd.it/2aMi,
18,Paths of Glory,1957,https://boxd.it/29b6,
19,The Silence of the Lambs,1991,https://boxd.it/2aHW,
20,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
21,Rushmore,1998,https://boxd.it/1TAO,
22,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
23,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
24,Bottle Rocket,1996,https://boxd.it/1PDa,
25,The Darjeeling Limited,2007,https://boxd.it/24as,
26,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
27,Moonrise Kingdom,2012,https://boxd.it/2Wng,
28,Parasite,2019,https://boxd.it/hTha,
29,Do the Right Thing,1989,https://boxd.it/29gA,
30,Brazil,1985,https://boxd.it/2be2,
31,Jabberwocky,1977,https://boxd.it/1SYK,
32,Bamboozled,2000,https://boxd.it/1xfa,
33,Dressed to Kill,1980,https://boxd.it/1UO8,
34,Sisters,1972,https://boxd.it/1AMc,
35,Being John Malkovich,1999,https://boxd.it/2ahu,
36,Repo Man,1984,https://boxd.it/1Plg,
37,Yojimbo,1961,https://boxd.it/1SRY,Yojimbo/Sanjuro Box Set
38,Sanjuro,1962,https://boxd.it/1TaQ,Yojimbo/Sanjuro Box Set
39,Rashomon,1950,https://boxd.it/2a9K,
40,Seven Samurai,1954,https://boxd.it/2axi,
41,Antichrist,2009,https://boxd.it/1Inu,
42,The Breakfast Club,1985,https://boxd.it/27q4,
43,La Cage aux Folles,1978,https://boxd.it/24g6,
44,House,1977,https://boxd.it/1vsm,
45,Punch-Drunk Love,2002,https://boxd.it/20E4,
46,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
47,The Squid and the Whale,2005,https://boxd.it/1VAG,
48,The Big Boss,1971,https://boxd.it/1RU8,Bruce Lee: His Greatest Hits
49,Fist of Fury,1972,https://boxd.it/1TaG,Bruce Lee: His Greatest Hits
50,The Way of the Dragon,1972,https://boxd.it/1YCq,Bruce Lee: His Greatest Hits
51,Enter the Dragon,1973,https://boxd.it/1YCA,Bruce Lee: His Greatest Hits
52,Game of Death,1978,https://boxd.it/1Qpe,Bruce Lee: His Greatest Hits
53,Badlands,1973,https://boxd.it/25Fm,
54,Ace in the Hole,1951,https://boxd.it/1vXk,
55,The Tree of Life,2011,https://boxd.it/1Zu8,
56,Onibaba,1964,https://boxd.it/252a,
57,Pina,2011,https://boxd.it/n5W,
58,Female Trouble,1974,https://boxd.it/1Oqk,
59,Election,1999,https://boxd.it/1YEc,
60,Diabolique,1955,https://boxd.it/29we,
61,Ikiru,1952,https://boxd.it/251c,
62,Code Unknown,2000,https://boxd.it/1kaw,
63,The Philadelphia Story,1940,https://boxd.it/29a8,
64,Häxan,1922,https://boxd.it/n4O,
65,Scanners,1981,https://boxd.it/1YqE,
66,Naked Lunch,1991,https://boxd.it/26ow,
67,Personal Shopper,2016,https://boxd.it/bkGM,
68,Harakiri,1962,https://boxd.it/1NTU,
69,Beyond the Valley of the Dolls,1970,https://boxd.it/22GQ,
70,The Irishman,2019,https://boxd.it/dYOq,
71,The Daytrippers,1996,https://boxd.it/F9i,
72,Cure,1997,https://boxd.it/1blA,
73,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
74,Daisies,1966,https://boxd.it/LZk,
75,Tess,1979,https://boxd.it/1UAq,
76,The New World,2005,https://boxd.it/1TVW,
77,Memories of Murder,2003,https://boxd.it/1TSo,
78,The Piano Teacher,2001,https://boxd.it/2886,
79,Boyhood,2014,https://boxd.it/3178,
80,Funny Games,1997,https://boxd.it/1WKM,
81,The Brood,1979,https://boxd.it/1ovS,
82,Crash,1996,https://boxd.it/29n2,
83,Arsenic and Old Lace,1944,https://boxd.it/2aRW,
84,The Game,1997,https://boxd.it/26vC,
85,Kagemusha,1980,https://boxd.it/1SGG,
86,Kwaidan,1964,https://boxd.it/1kbY,
87,The Graduate,1967,https://boxd.it/18Im,
88,Anselm,2023,https://boxd.it/G56Q,
89,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
90,Girlfight,2000,https://boxd.it/1FfM,
91,Anatomy of a Fall,2023,https://boxd.it/yuDE,
92,Dogfight,1991,https://boxd.it/1NCk,
93,The Palm Beach Story,1942,https://boxd.it/1hp4,
94,The Lady Eve,1941,https://boxd.it/25LY,
95,Rebecca,1940,https://boxd.it/2aQa,
96,Solaris,1972,https://boxd.it/2a2Y,
97,Stalker,1979,https://boxd.it/28PO,
98,Mirror,1975,https://boxd.it/28Q8,
99,Andrei Rublev,1966,https://boxd.it/29lg,
100,Ivan's Childhood,1962,https://boxd.it/1j6y,
101,8½,1963,https://boxd.it/2aqm,
102,The 400 Blows,1959,https://boxd.it/2b1C,
103,Until the End of the World,1991,https://boxd.it/1WuY,
104,"Paris, Texas",1984,https://boxd.it/29Ts,
105,The In-Laws,1979,https://boxd.it/1Eto,
106,Throne of Blood,1957,https://boxd.it/251w,
107,High and Low,1963,https://boxd.it/1RSc,
