Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-01,Owned Films,"owned, blu-ray",https://boxd.it/m2sWg,"By default we assume Blu-ray. I try to mark collections, 4k's, fun publishers etc."

Position,Name,Year,URL,Description
1,Smiles of a Summer Night,1955,https://boxd.it/1TcM,Criterion - Ingmar Bergman’s Cinema
2,Crisis,1946,https://boxd.it/1kGs,Criterion - Ingmar Bergman’s Cinema
3,A Ship to India,1947,https://boxd.it/3AY2,Criterion - Ingmar Bergman’s Cinema
4,Wild Strawberries,1957,https://boxd.it/29ZU,Criterion - Ingmar Bergman’s Cinema
5,Ingmar Bergman on Life and Work,1998,https://boxd.it/5fLg,Criterion - Ingmar Bergman’s Cinema
6,To Joy,1950,https://boxd.it/142Q,Criterion - Ingmar Bergman’s Cinema
7,Summer Interlude,1951,https://boxd.it/KDC,Criterion - Ingmar Bergman’s Cinema
8,Summer with Monika,1953,https://boxd.it/JZC,Criterion - Ingmar Bergman’s Cinema
9,Images from the Playground,2009,https://boxd.it/6fIe,Criterion - Ingmar Bergman’s Cinema
10,Dreams,1955,https://boxd.it/3mqK,Criterion - Ingmar Bergman’s Cinema
11,A Lesson in Love,1954,https://boxd.it/do,Criterion - Ingmar Bergman’s Cinema
12,Scenes from a Marriage,1974,https://boxd.it/4kJC,Criterion - Ingmar Bergman’s Cinema
13,Saraband,2003,https://boxd.it/rkw,Criterion - Ingmar Bergman’s Cinema
14,From the Life of the Marionettes,1980,https://boxd.it/XBO,Criterion - Ingmar Bergman’s Cinema
15,Hour of the Wolf,1968,https://boxd.it/1H9G,Criterion - Ingmar Bergman’s Cinema
16,Shame,1968,https://boxd.it/1tZo,Criterion - Ingmar Bergman’s Cinema
17,An Introduction to Ingmar Bergman,1968,https://boxd.it/kAvy,Criterion - Ingmar Bergman’s Cinema
18,The Passion of Anna,1969,https://boxd.it/Wus,Criterion - Ingmar Bergman’s Cinema
19,Fårö Document,1970,https://boxd.it/9GVg,Criterion - Ingmar Bergman’s Cinema
20,Fårö Document 1979,1979,https://boxd.it/3XDc,Criterion - Ingmar Bergman’s Cinema
21,Daniel,1967,https://boxd.it/jvFc,Criterion - Ingmar Bergman’s Cinema
22,Karin's Face,1986,https://boxd.it/3yGK,Criterion - Ingmar Bergman’s Cinema
23,Through a Glass Darkly,1961,https://boxd.it/1TrW,Criterion - Ingmar Bergman’s Cinema
24,Winter Light,1963,https://boxd.it/1nrU,Criterion - Ingmar Bergman’s Cinema
25,Ingmar Bergman Makes a Movie,1963,https://boxd.it/Ctu,Criterion - Ingmar Bergman’s Cinema
26,The Silence,1963,https://boxd.it/1TH6,Criterion - Ingmar Bergman’s Cinema
27,The Virgin Spring,1960,https://boxd.it/1TjI,Criterion - Ingmar Bergman’s Cinema
28,The Seventh Seal,1957,https://boxd.it/2ahO,Criterion - Ingmar Bergman’s Cinema
29,Bergman Island,2006,https://boxd.it/3AZE,Criterion - Ingmar Bergman’s Cinema
30,The Devil's Eye,1960,https://boxd.it/JaO,Criterion - Ingmar Bergman’s Cinema
31,All These Women,1964,https://boxd.it/3kGG,Criterion - Ingmar Bergman’s Cinema
32,Sawdust and Tinsel,1953,https://boxd.it/K1S,Criterion - Ingmar Bergman’s Cinema
33,The Rite,1969,https://boxd.it/4vw,Criterion - Ingmar Bergman’s Cinema
34,The Magician,1958,https://boxd.it/1nse,Criterion - Ingmar Bergman’s Cinema
35,The Magic Flute,1975,https://boxd.it/QUa,Criterion - Ingmar Bergman’s Cinema
36,Silence! Cameras! The Magic Flute!,1975,https://boxd.it/dePs,Criterion - Ingmar Bergman’s Cinema
37,After the Rehearsal,1984,https://boxd.it/XLO,Criterion - Ingmar Bergman’s Cinema
38,The Touch,1971,https://boxd.it/3zqo,Criterion - Ingmar Bergman’s Cinema
39,The Serpent's Egg,1977,https://boxd.it/KDs,Criterion - Ingmar Bergman’s Cinema
40,Persona,1966,https://boxd.it/29B4,Criterion - Ingmar Bergman’s Cinema
41,Liv & Ingmar,2012,https://boxd.it/4pa8,Criterion - Ingmar Bergman’s Cinema
42,Thirst,1949,https://boxd.it/C3G,Criterion - Ingmar Bergman’s Cinema
43,Port of Call,1948,https://boxd.it/C40,Criterion - Ingmar Bergman’s Cinema
44,Cries and Whispers,1972,https://boxd.it/1WK8,Criterion - Ingmar Bergman’s Cinema
45,"Ingmar Bergman: Reflections on Life, Death, and Love",2000,https://boxd.it/dwIE,Criterion - Ingmar Bergman’s Cinema
46,Waiting Women,1952,https://boxd.it/2hXC,Criterion - Ingmar Bergman’s Cinema
47,Brink of Life,1958,https://boxd.it/eXg,Criterion - Ingmar Bergman’s Cinema
48,Autumn Sonata,1978,https://boxd.it/1Rio,Criterion - Ingmar Bergman’s Cinema
49,Fanny and Alexander,1982,https://boxd.it/22go,Criterion - Ingmar Bergman’s Cinema
50,The Making of Fanny and Alexander,1984,https://boxd.it/3Oei,Criterion - Ingmar Bergman’s Cinema
51,Fanny & Alexander: A Bergman Tapestry,2004,https://boxd.it/6ndy,Criterion - Ingmar Bergman’s Cinema
52,Ingmar Bergman Bids Farewell to Film,1983,https://boxd.it/6uFa,Criterion - Ingmar Bergman’s Cinema
53,… But Film Is My Mistress,2010,https://boxd.it/4e2W,Criterion - Ingmar Bergman’s Cinema
54,Women and Bergman,2007,https://boxd.it/kEdy,Criterion - Ingmar Bergman’s Cinema
55,Bergman Unpublished,2017,https://boxd.it/kEdI,Criterion - Ingmar Bergman’s Cinema
56,Twin Peaks,1989,https://boxd.it/g8pk,Twin Peaks: The Television Collection
57,Twin Peaks: The Return,2017,https://boxd.it/hN9O,Twin Peaks: The Television Collection
58,Crimes of the Future,2022,https://boxd.it/uTuY,4k and Second Sight Films - Limited Edition 4k
59,Party Girl,1995,https://boxd.it/1b7e,Fun City Editions
60,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,Criterion - Three Films by Luis Buñuel
61,The Phantom of Liberty,1974,https://boxd.it/22VG,Criterion - Three Films by Luis Buñuel
62,That Obscure Object of Desire,1977,https://boxd.it/22zg,Criterion - Three Films by Luis Buñuel
63,Three Colours: Blue,1993,https://boxd.it/2b7K,Criterion Three Colours - 4k
64,Three Colours: White,1994,https://boxd.it/2b7A,Criterion Three Colours - 4k
65,Three Colours: Red,1994,https://boxd.it/2b7q,Criterion Three Colours - 4k
66,My Neighbor Totoro,1988,https://boxd.it/20eA,Limited Collectors Edition - GKids and Steelbook
67,Princess Mononoke,1997,https://boxd.it/2b4w,Limited Collectors Edition - GKids and Steelbook
68,Spirited Away,2001,https://boxd.it/2b4m,Limited Collectors Edition - GKids and Steelbook
69,Weathering with You,2019,https://boxd.it/kPxE,Limited Collectors Edition - 4k
70,Promare,2019,https://boxd.it/keFQ,Limited Collectors Edition - 4k
