Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-13,Owned Umbrella 4ks,"owned, 4k, umbrella",https://boxd.it/CONlg,

Position,Name,Year,URL,Description
1,Eyes Without a Face,1960,https://boxd.it/1j9i,4k
2,Possession,1981,https://boxd.it/1BPm,4k and 4k Collectors Edition
3,All Hallows' Eve,2013,https://boxd.it/6OdU,4k - Art Attack Collection
4,Terrifier,2016,https://boxd.it/eRzg,4k - Art Attack Collection
5,Terrifier 2,2022,https://boxd.it/oI10,4k - Art Attack Collection
6,Terrifier 3,2024,https://boxd.it/D8tM,4k - Art Attack Collection
