Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-13,Owned Umbrella Blu-rays,"owned, blu-ray, umbrella",https://boxd.it/CONB4,

Position,Name,Year,URL,Description
1,The House of the Devil,2009,https://boxd.it/1uIe,Collectors Edition
2,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO,Beyond Genres Volume 09
3,Upstream Color,2013,https://boxd.it/4Cwc,Collectors Edition
4,Primer,2004,https://boxd.it/6YA,Collectors Edition
5,Tank Girl,1995,https://boxd.it/1Zfs,Collectors Edition
6,Super Mario Bros.,1993,https://boxd.it/1YfG,30th Anniversary Collector's Edition
7,The Love Witch,2016,https://boxd.it/cZie,Beyond Genres Volume 20
8,Martyrs,2008,https://boxd.it/1Yqu,Beyond Genres Volume 22
9,Late Night with the Devil,2023,https://boxd.it/zo6G,Collectors Edition
