Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-26,Ranking: Stanley Kubrick,ranking,https://boxd.it/srOYi,

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,Eyes Wide Shut,1999,https://boxd.it/2axs,
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
4,Full Metal Jacket,1987,https://boxd.it/2a1Q,
5,Barry Lyndon,1975,https://boxd.it/25A2,
6,A Clockwork Orange,1971,https://boxd.it/2aVE,
7,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
8,Killer's Kiss,1955,https://boxd.it/1Xcc,
