Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-26,Ranking: Wes Anderson,ranking,https://boxd.it/srPwY,

Position,Name,Year,URL,Description
1,Asteroid City,2023,https://boxd.it/s3ds,
2,Moonrise Kingdom,2012,https://boxd.it/2Wng,
3,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
4,The French Dispatch,2021,https://boxd.it/jLP8,
5,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
6,Rushmore,1998,https://boxd.it/1TAO,
7,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
8,The Darjeeling Limited,2007,https://boxd.it/24as,
9,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
10,Poison,2023,https://boxd.it/Is7Q,
11,Hotel Chevalier,2007,https://boxd.it/21Ic,
12,Castello Cavalcanti,2013,https://boxd.it/6WlM,
13,Cousin Ben Troop Screening,2012,https://boxd.it/49SS,
14,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
15,Isle of Dogs,2018,https://boxd.it/dZrW,
16,The Rat Catcher,2023,https://boxd.it/Is8a,
17,Do You Like to Read?,2012,https://boxd.it/jMMY,
18,The Swan,2023,https://boxd.it/Is80,
19,Come Together,2016,https://boxd.it/wVA4,
20,Come Together,2016,https://boxd.it/wVA4,
