Date,Name,Year,Letterboxd URI,Rating
2022-06-06,Crimes of the Future,2022,https://boxd.it/uTuY,5
2023-03-09,The Outwaters,2022,https://boxd.it/sgjS,2.5
2023-03-09,Blow Out,1981,https://boxd.it/1TlE,3
2023-03-10,Scream 3,2000,https://boxd.it/24Ei,2.5
2023-03-10,Saint Maud,2019,https://boxd.it/l8QA,4
2023-03-11,Scream 4,2011,https://boxd.it/Zmc,3
2023-03-11,Scream 2,1997,https://boxd.it/24Es,2.5
2023-03-11,Scream,2022,https://boxd.it/o0lg,3.5
2023-03-11,Creed,2015,https://boxd.it/a2qk,3.5
2023-03-11,Creed II,2018,https://boxd.it/hgl8,3.5
2023-03-11,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2023-03-11,Jodorowsky's Dune,2013,https://boxd.it/5MP6,3.5
2023-03-11,Climax,2018,https://boxd.it/ikvo,3
2023-03-12,Get Out,2017,https://boxd.it/eOCm,5
2023-03-13,Dazed and Confused,1993,https://boxd.it/1Ylk,3
2023-03-13,Creed III,2023,https://boxd.it/pf68,3
2023-03-14,Obsession,1976,https://boxd.it/23QM,4
2023-03-14,Triangle of Sadness,2022,https://boxd.it/hXlq,2.5
2023-03-15,The Sixth Sense,1999,https://boxd.it/29Js,3.5
2023-03-15,Do the Right Thing,1989,https://boxd.it/29gA,5
2023-03-15,Raging Bull,1980,https://boxd.it/28yI,3
2023-03-16,The Sadness,2021,https://boxd.it/tcHe,3
2023-03-16,A Ghost Story,2017,https://boxd.it/fb0K,4
2023-03-16,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-03-16,But I'm a Cheerleader,1999,https://boxd.it/1CW4,5
2023-03-16,Uncut Gems,2019,https://boxd.it/gXGc,4
2023-03-17,GoodFellas,1990,https://boxd.it/29FA,4
2023-03-17,Sleepless in Seattle,1993,https://boxd.it/29re,3.5
2023-03-17,Malevolent,2018,https://boxd.it/hijI,2.5
2023-03-17,Hypnotic,2021,https://boxd.it/wFPM,3
2023-03-17,Party Girl,1995,https://boxd.it/1b7e,4
2023-03-18,The Proposal,2009,https://boxd.it/1HiS,4
2023-03-18,The Brothers Bloom,2008,https://boxd.it/1Bqm,4
2023-03-19,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,3
2023-03-21,Sick,2022,https://boxd.it/vgBI,2
2023-03-22,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,4
2023-03-23,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3
2023-03-23,The Lighthouse,2019,https://boxd.it/icFU,3.5
2023-03-23,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2023-03-23,The Lost City,2022,https://boxd.it/sg0Q,2
2023-03-24,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2023-03-25,A Good Person,2023,https://boxd.it/u8sw,3.5
2023-03-26,John Wick: Chapter 4,2023,https://boxd.it/mh48,3.5
2023-03-27,The Daytrippers,1996,https://boxd.it/F9i,4
2023-03-27,Drive,2011,https://boxd.it/IG,5
2023-03-27,Pearl,2022,https://boxd.it/zPbe,5
2023-03-27,X,2022,https://boxd.it/sxVa,4
2023-03-27,Suspiria,2018,https://boxd.it/cioI,4
2023-03-29,Police Story,1985,https://boxd.it/1Zhe,3.5
2023-03-29,Pitch Perfect,2012,https://boxd.it/3OsE,4
2023-03-29,Pitch Perfect 2,2015,https://boxd.it/7tNa,2.5
2023-03-30,Police Story 2,1988,https://boxd.it/1VtU,2.5
2023-03-30,"Yes, Madam!",1985,https://boxd.it/13EE,2
2023-03-30,Amadeus,1984,https://boxd.it/2aH8,5
2023-03-31,It Follows,2014,https://boxd.it/87wo,4.5
2023-04-01,Cam,2018,https://boxd.it/iWvG,2.5
2023-04-01,Enys Men,2022,https://boxd.it/rM0m,4
2023-04-01,Eraserhead,1977,https://boxd.it/299u,5
2023-04-02,Pitch Perfect 3,2017,https://boxd.it/bUre,2
2023-04-02,The Invitation,2015,https://boxd.it/9OUU,3
2023-04-02,Malum,2023,https://boxd.it/FoFy,3
2023-04-03,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,4
2023-04-03,Eastern Promises,2007,https://boxd.it/275q,3.5
2023-04-03,Police Story 3: Super Cop,1992,https://boxd.it/1Uyk,4
2023-04-03,Lamb,2021,https://boxd.it/tFwE,3
2023-04-04,Funny Games,1997,https://boxd.it/1WKM,4
2023-04-05,After Yang,2021,https://boxd.it/lx5a,4
2023-04-05,Oldboy,2013,https://boxd.it/35AS,2.5
2023-04-06,Air,2023,https://boxd.it/Arlc,4
2023-04-06,The Wicker Man,1973,https://boxd.it/1KnG,3
2023-04-07,The Stepford Wives,1975,https://boxd.it/1Sfq,2.5
2023-04-07,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,3.5
2023-04-07,Krisha,2015,https://boxd.it/ax4E,3
2023-04-09,De Palma,2015,https://boxd.it/bZDk,4
2023-04-10,Murder Mystery 2,2023,https://boxd.it/nHOo,2.5
2023-04-11,The Five Devils,2022,https://boxd.it/uVsA,3.5
2023-04-13,The Green Knight,2021,https://boxd.it/kuy2,4
2023-04-13,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu,1
2023-04-13,Would You Rather,2012,https://boxd.it/3m0W,2
2023-04-14,Speed,1994,https://boxd.it/28qk,3
2023-04-14,The Human Centipede 3 (Final Sequence),2015,https://boxd.it/3hRc,1
2023-04-14,The Human Centipede 2 (Full Sequence),2011,https://boxd.it/2yqg,1
2023-04-14,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG,4
2023-04-15,Nymphomaniac: Vol. II,2013,https://boxd.it/7j9Y,4
2023-04-15,Marrowbone,2017,https://boxd.it/dZVC,4
2023-04-15,eXistenZ,1999,https://boxd.it/27Ni,3.5
2023-04-15,Emma.,2020,https://boxd.it/kmg0,4
2023-04-16,Marathon Man,1976,https://boxd.it/1W4c,3
2023-04-16,The General,1926,https://boxd.it/29co,3
2023-04-16,In Fabric,2018,https://boxd.it/h2sY,3.5
2023-04-16,Bros,2022,https://boxd.it/mJZw,3.5
2023-04-16,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,3.5
2023-04-16,mother!,2017,https://boxd.it/dgRU,5
2023-04-17,Stalker,1979,https://boxd.it/28PO,3
2023-04-17,Enemy,2013,https://boxd.it/5xtO,4
2023-04-18,Pillow Talk,1959,https://boxd.it/23AE,2
